external_id,trade_date,portfolio,category_name,market,symbol,name,side,quantity,price,target_percent
Y-SELL-5236-2024-12-19-142,2024-12-19,martingale,黃標,TW,5236,凌陽創新,SELL,981,148.00,0.00
Y-DIV-6548-2024-12-19-143,2024-12-19,martingale,黃標,TW,6548,長科*,DIVIDEND,6670,0.41,
Y-BUY-4555-2024-12-24-144-0,2024-12-24,martingale,黃標,TW,4555,氣立,BUY,1980,42.00,8.32
Y-BUY-5388-2025-01-09-145-0,2025-01-09,martingale,黃標,TW,5388,中磊,BUY,679,122.50,12.48
Y-BUY-3029-2025-02-03-146-0,2025-02-03,martingale,黃標,TW,3029,零壹,BUY,632,131.50,12.48
Y-BUY-2359-2025-02-21-147-0,2025-02-21,martingale,黃標,TW,2359,所羅門,BUY,540,154.00,8.32
Y-SELL-6548-2025-03-04-148,2025-03-04,martingale,黃標,TW,6548,長科*,SELL,6670,33.50,0.00
Y-BUY-8936-2025-03-05-149-0,2025-03-05,martingale,黃標,TW,8936,國統,BUY,1452,57.30,4.16
Y-BUY-8936-2025-03-10-150-0,2025-03-10,martingale,黃標,TW,8936,國統,BUY,1457,57.10,8.32
Y-SELL-5388-2025-03-10-151,2025-03-10,martingale,黃標,TW,5388,中磊,SELL,736,127.50,8.32
Y-SELL-5388-2025-03-11-152,2025-03-11,martingale,黃標,TW,5388,中磊,SELL,1418,124.00,0.00
Y-SELL-3029-2025-03-11-153,2025-03-11,martingale,黃標,TW,3029,零壹,SELL,917,145.00,8.32
Y-SELL-2359-2025-03-11-154,2025-03-11,martingale,黃標,TW,2359,所羅門,SELL,594,143.00,4.16
Y-SELL-4555-2025-03-11-155,2025-03-11,martingale,黃標,TW,4555,氣立,SELL,2209,40.80,4.16
Y-SELL-2359-2025-03-11-158,2025-03-11,martingale,黃標,TW,2359,所羅門,SELL,540,143.00,0.00
Y-BUY-4555-2025-03-12-160-0,2025-03-12,martingale,黃標,TW,4555,氣立,BUY,1964,42.35,8.32
Y-BUY-5388-2025-03-12-161-0,2025-03-12,martingale,黃標,TW,5388,中磊,BUY,640,130.00,4.16
Y-DIV-3029-2025-03-20-162,2025-03-20,martingale,黃標,TW,3029,零壹,DIVIDEND,1459,5.00,
Y-BUY-4555-2025-03-25-163-0,2025-03-25,martingale,黃標,TW,4555,氣立,BUY,1950,42.65,12.48
Y-BUY-5388-2025-03-25-164-0,2025-03-25,martingale,黃標,TW,5388,中磊,BUY,627,132.50,8.32
